MemoryType,BlockSize,ElementType,BufferSize,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,AbsError(write),RelError(write),ReadTime,AverageReadTime,ReadBandwidth,AbsError(read),RelError(read)
SSD,41943040,int,41943040,10,gettimeofday,0.0210972,0.022313,1.79268e+09,0.00121578,5.76276,0.0447428,0.0368991,1.08404e+09,0.00784376,17.5308
SSD,46137344,int,46137344,11,gettimeofday,0.0238431,0.022313,1.97195e+09,0.00153009,6.41733,0.0318449,0.0368991,1.19244e+09,0.00505421,15.8714
SSD,50331648,int,50331648,12,gettimeofday,0.024914,0.022313,2.15122e+09,0.00260106,10.4402,0.03477,0.0368991,1.30085e+09,0.00212905,6.12325
SSD,54525952,int,54525952,13,gettimeofday,0.028029,0.022313,2.33048e+09,0.005716,20.3932,0.0371079,0.0368991,1.40925e+09,0.000208879,0.562894
SSD,58720256,int,58720256,14,gettimeofday,0.028569,0.022313,2.50975e+09,0.00625602,21.8979,0.040329,0.0368991,1.51765e+09,0.00342991,8.50484
SSD,62914560,int,62914560,15,gettimeofday,0.0325329,0.022313,2.68902e+09,0.01022,31.4142,0.067275,0.0368991,1.62606e+09,0.030376,45.1519
SSD,67108864,int,67108864,16,gettimeofday,0.0336111,0.022313,2.86829e+09,0.0112981,33.6142,0.0704551,0.0368991,1.73446e+09,0.033556,47.6275
SSD,71303168,int,71303168,17,gettimeofday,0.0360641,0.022313,3.04756e+09,0.0137512,38.1298,0.074244,0.0368991,1.84287e+09,0.037345,50.3003
SSD,75497472,int,75497472,18,gettimeofday,0.0367842,0.022313,3.22682e+09,0.0144712,39.3409,0.0686209,0.0368991,1.95127e+09,0.0317219,46.2277
SSD,79691776,int,79691776,19,gettimeofday,0.039351,0.022313,3.40609e+09,0.017038,43.2976,0.0557761,0.0368991,2.05967e+09,0.0188771,33.8443
SSD,83886080,int,83886080,20,gettimeofday,0.0417628,0.022313,3.58536e+09,0.0194499,46.5722,0.0560641,0.0368991,2.16808e+09,0.0191651,34.1842
SSD,4194304,double,4194304,1,gettimeofday,0.00798893,0.0236154,1.69381e+08,0.0156265,195.602,0.00468493,0.0391243,1.02238e+08,0.0344394,735.11
SSD,8388608,double,8388608,2,gettimeofday,0.00574207,0.0236154,3.38761e+08,0.0178734,311.27,0.0080781,0.0391243,2.04477e+08,0.0310462,384.326
SSD,12582912,double,12582912,3,gettimeofday,0.00687003,0.0236154,5.08142e+08,0.0167454,243.746,0.00938487,0.0391243,3.06715e+08,0.0297394,316.887
SSD,16777216,double,16777216,4,gettimeofday,0.00860906,0.0236154,6.77523e+08,0.0150064,174.309,0.0158908,0.0391243,4.08953e+08,0.0232335,146.207
SSD,20971520,double,20971520,5,gettimeofday,0.011075,0.0236154,8.46903e+08,0.0125404,113.232,0.017009,0.0391243,5.11191e+08,0.0221153,130.021
SSD,25165824,double,25165824,6,gettimeofday,0.0124531,0.0236154,1.01628e+09,0.0111624,89.6354,0.0182469,0.0391243,6.1343e+08,0.0208774,114.416
SSD,29360128,double,29360128,7,gettimeofday,0.015039,0.0236154,1.18566e+09,0.00857648,57.0284,0.0301552,0.0391243,7.15668e+08,0.00896912,29.7432
SSD,33554432,double,33554432,8,gettimeofday,0.0172918,0.0236154,1.35505e+09,0.00632366,36.5703,0.0248809,0.0391243,8.17906e+08,0.0142434,57.2464
SSD,37748736,double,37748736,9,gettimeofday,0.01932,0.0236154,1.52443e+09,0.00429543,22.2331,0.0279372,0.0391243,9.20144e+08,0.0111871,40.0439
SSD,41943040,double,41943040,10,gettimeofday,0.022692,0.0236154,1.69381e+09,0.000923479,4.06963,0.03058,0.0391243,1.02238e+09,0.00854425,27.9406
SSD,46137344,double,46137344,11,gettimeofday,0.0274661,0.0236154,1.86319e+09,0.00385062,14.0195,0.0400269,0.0391243,1.12462e+09,0.000902605,2.255
SSD,50331648,double,50331648,12,gettimeofday,0.027046,0.0236154,2.03257e+09,0.00343052,12.684,0.0361931,0.0391243,1.22686e+09,0.00293117,8.09868
SSD,54525952,double,54525952,13,gettimeofday,0.027544,0.0236154,2.20195e+09,0.00392858,14.2629,0.0375452,0.0391243,1.3291e+09,0.00157909,4.20585
SSD,58720256,double,58720256,14,gettimeofday,0.0334828,0.0236154,2.37133e+09,0.00986735,29.4699,0.048527,0.0391243,1.43134e+09,0.0094027,19.3762
SSD,62914560,double,62914560,15,gettimeofday,0.03337,0.0236154,2.54071e+09,0.00975457,29.2316,0.0457199,0.0391243,1.53357e+09,0.00659556,14.426
SSD,67108864,double,67108864,16,gettimeofday,0.034081,0.0236154,2.71009e+09,0.0104655,30.7079,0.049777,0.0391243,1.63581e+09,0.0106527,21.4009
SSD,71303168,double,71303168,17,gettimeofday,0.0369091,0.0236154,2.87947e+09,0.0132937,36.0173,0.0616381,0.0391243,1.73805e+09,0.0225138,36.5258
SSD,75497472,double,75497472,18,gettimeofday,0.0420771,0.0236154,3.04885e+09,0.0184616,43.8757,0.092454,0.0391243,1.84029e+09,0.0533297,57.6824
SSD,79691776,double,79691776,19,gettimeofday,0.0405638,0.0236154,3.21823e+09,0.0169484,41.782,0.0868289,0.0391243,1.94253e+09,0.0477046,54.941
SSD,83886080,double,83886080,20,gettimeofday,0.0426881,0.0236154,3.38761e+09,0.0190727,44.6791,0.0969279,0.0391243,2.04477e+09,0.0578036,59.6357
